Направление,Наименование источника,Ссылка,Комментарии,Категория,Тип источника,Страна,Список
5.IT/Ventures,TechCrunch,https://techcrunch.com/,"Новости из мира стартапов, инвестиций, мобильных технологий, социальных сетей, облачных вычислений и других сфер информационных технологий.",Отраслевой агрегатор новостей и аналитики,Website,Глобал,Рекомендованный список
5.IT/Ventures,Crunchbase,https://www.crunchbase.com/,"платформа для анализа данных о частных компаниях, стартапах, инвесторах и деятельности по финансированию.",Компании/финансы/реестры,Website,Глобал,Рекомендованный список
5.IT/Ventures,PitchBook,https://pitchbook.com/,Венчур/PE/М&A база и аналитика.,Каталог стартапов/проектов,Website,Глобал,Рекомендованный список
3.Производство,Отраслевой портал MASHNEWS,https://mashnews.ru/,Оперативные новости и эксклюзивы по промышленности,Отраслевой агрегатор новостей и аналитики,Website,Россия,Рекомендованный список
3.Производство,Отраслевой портал MASHNEWS,https://t.me/s/news_engineering,Все новости промышленности в одном месте!,Отраслевой агрегатор новостей и аналитики,Telegram,Россия,Рекомендованный список
2.Работа с персоналом,(не)Типичный HR,https://t.me/not_typical_hr,"Аналитика, кейсы",Отраслевой агрегатор новостей и аналитики,Telegram,Россия,Рекомендованный список
2.Работа с персоналом,HR кухня,https://t.me/hr_kitchen,"События, новости HR",Отраслевой агрегатор новостей и аналитики,Telegram,Россия,Рекомендованный список
2.Работа с персоналом,Shopper’s,https://t.me/newspotreb,Новости потребительского рынка,Отраслевой агрегатор новостей и аналитики,Telegram,Россия,Рекомендованный список
2.Работа с персоналом,Школа массового подбора,https://t.me/HRmassHR,"Канал для HR, кто занимается массовым подбором, постоянно в этом развивается, обучается и делится опытом.",Отраслевой агрегатор новостей и аналитики,Telegram,Россия,Рекомендованный список
2.Работа с персоналом,hh.ru,hh.ru,"новости по рынку труда, статистика",Отраслевой агрегатор новостей и аналитики,Website,СНГ,Рекомендованный список
2.Работа с персоналом,Migrant policy,https://www.migrationpolicy.org/,"Глобальные изменения по миграции, тренды и новости",Отраслевой агрегатор новостей и аналитики,Website,Глобал,Рекомендованный список
4.Финансово-юридические услуги,Консультант+,https://www.consultant.ru/,"Новости и кейсы, изменения в законодательстве",Отраслевой агрегатор новостей и аналитики,Website,Россия,Рекомендованный список
4.Финансово-юридические услуги,"Онлайн-издания («Контур», «Налоговые консультации») ",https://kontur.ru/,"Новости и кейсы, изменения в законодательстве",Отраслевой агрегатор новостей и аналитики,Website,Россия,Рекомендованный список
4.Финансово-юридические услуги,"Профессиональные журналы («Главбух», «Бухгалтерия и банки»)",https://www.glavbukh.ru/,"Новости и кейсы, изменения в законодательстве",Отраслевой агрегатор новостей и аналитики,Website,Россия,Рекомендованный список
4.Финансово-юридические услуги,Бухсофт ,https://www.buhsoft.ru/,"Новости и кейсы, изменения в законодательстве",Отраслевой агрегатор новостей и аналитики,Website,Россия,Рекомендованный список
7.Общие,Экспертосфера,https://t.me/expertosphere,Платформа-агрегатор отраслевой экспертизы и аналитики,Отраслевой агрегатор новостей и аналитики,Telegram,Россия,Рекомендованный список
7.Общие,Business Incognita,https://t.me/businessincognita,Агрегатор обзоров на рынки и мировые тренды,Отраслевой агрегатор новостей и аналитики,Telegram,Глобал,Рекомендованный список
7.Общие,Insider Info,https://t.me/insider_infor,"Агрегатор обзоров на рынки, аналитика",Отраслевой агрегатор новостей и аналитики,Telegram,Глобал,Рекомендованный список
7.Общие,Банкста,https://t.me/banksta,Крупный телеграм-канал с новосятм о политике и экономике,Отраслевой агрегатор новостей и аналитики,Telegram,Россия,Рекомендованный список
7.Общие,HR кухня,https://t.me/hr_kitchen,"События, новости HR",Отраслевой агрегатор новостей и аналитики,Telegram,Россия,Рекомендованный список
7.Общие,International Monetary Fund,https://www.imf.org/en/publications/weo,"Международные обзоры, статистика по странам, новости по глобальным проектам",Макроэкономические и демографические данные,Website,Глобал,Рекомендованный список
7.Общие,РБК тренды,https://trends.rbc.ru/trends/tag/startups,"Тренды, новости, стартапы",Отраслевой агрегатор новостей и аналитики,Website,Россия,Рекомендованный список
7.Общие,СБЕР,https://sber.pro/trend/,"Тренды, новости",Отраслевой агрегатор новостей и аналитики,Website,Россия,Рекомендованный список
7.Общие,Больше чем экономика (новостной канал) ,https://t.me/economylive,Крупный телеграм-канал с новосятм о политике и экономике,Отраслевой агрегатор новостей и аналитики,Telegram,Россия,Рекомендованный список
7.Общие,Frontier,https://t.me/frontier_trends,"Тренды, отчеты, презентации, стратегии, инструменты анализа и фреймворки.",Отраслевой агрегатор новостей и аналитики,Telegram,Глобал,Рекомендованный список
7.Общие,VC,https://vc.ru/,"Крупнейшая в рунете площадка для предпринимателей нового поколения. Новости ИТ-рынка, вакансии рунета, маркетинг, право, реклама, PR, интерфейсы, мобильные приложения.",Отраслевой агрегатор новостей и аналитики,Website,Россия,Рекомендованный список
7.Общие,VC,https://t.me/vcnews,"Бизнес, технологии, идеи, модели роста.",Отраслевой агрегатор новостей и аналитики,Telegram,Россия,Рекомендованный список
7.Общие,RE:source,https://6-sense.pro/resource,"Вся аналитика для бизнеса в одном месте.
Маркетинговые исследования. Кейсы. Опросы.",Отраслевой агрегатор новостей и аналитики,Website,Россия,Рекомендованный список
7.Общие,RE:source,https://t.me/resource6s,Вся аналитика для бизнеса в одном месте.,Отраслевой агрегатор новостей и аналитики,Telegram,Россия,Рекомендованный список
7.Общие,Similarweb,http://www.similarweb.com,"Платформа для анализа трафика, источников и аудитории любого веб-сайта.",Цифровая конкурентная разведка,Website,Глобал,Расширенный список
7.Общие,Semrush,http://www.semrush.com,"Комплексная платформа для SEO, SEM и анализа контент-стратегии конкурентов.",Цифровая конкурентная разведка,Website,Глобал,Расширенный список
7.Общие,Ahrefs,http://ahrefs.com,Инструмент для анализа обратных ссылок и исследования ключевых слов.,Цифровая конкурентная разведка,Website,Глобал,Расширенный список
7.Общие,SpyFu,http://www.spyfu.com,Сервис для отслеживания за ключевыми словами и рекламными объявлениями конкурентов.,Цифровая конкурентная разведка,Website,Глобал,Расширенный список
7.Общие,Google Trends,http://trends.google.com,Бесплатный инструмент для анализа популярности поисковых запросов во времени.,Цифровая конкурентная разведка,Website,Глобал,Расширенный список
7.Общие,Google Keyword Planner,http://ads.google.com/home/tools/keyword-planner/,Бесплатный инструмент для исследования ключевых слов и оценки их частотности.,Цифровая конкурентная разведка,Website,Глобал,Расширенный список
7.Общие,BuiltWith,http://builtwith.com,"Сервис для определения технологий, используемых на веб-сайте.",Цифровая конкурентная разведка,Website,Глобал,Расширенный список
7.Общие,SimilarTech,http://www.similarweb.com/corp/sales-intelligence/,Платформа для отслеживания используемых веб-технологий (часть Similarweb).,Цифровая конкурентная разведка,Website,Глобал,Расширенный список
7.Общие,BuzzSumo,http://buzzsumo.com,Инструмент для поиска наиболее популярного контента и выявления лидеров мнений.,Цифровая конкурентная разведка,Website,Глобал,Расширенный список
7.Общие,Exploding Topics,http://explodingtopics.com,Сервис для выявления быстрорастущих трендов и тем.,Цифровая конкурентная разведка,Website,Глобал,Расширенный список
7.Общие,Owler,https://www.google.com,Платформа для получения оценок выручки и отслеживания новостей конкурентов.,Цифровая конкурентная разведка,Website,Глобал,Расширенный список
7.Общие,Crayon.co,http://www.crayon.co,Платформа для отслеживания действий конкурентов в режиме реального времени.,Цифровая конкурентная разведка,Website,Глобал,Расширенный список
7.Общие,Statcounter GlobalStats,https://gs.statcounter.com/,"Рыночные доли браузеров, ОС, поисковиков.",Цифровые тренды/веб-спрос,Website,Глобал,Расширенный список
7.Общие,KeywordTool.io,https://keywordtool.io/,"Идеи запросов по площадкам (Google, YouTube и др.).",Цифровые тренды/веб-спрос,Website,Глобал,Расширенный список
7.Общие,Cloudflare Radar,https://radar.cloudflare.com/,"Трафик, события сети, домены, бот-активность.",Цифровые тренды/веб-спрос,Website,Глобал,Расширенный список
7.Общие,Akamai State of the Internet,https://www.akamai.com,Отчёты по интернет-угрозам и трафику.,Цифровые тренды/веб-спрос,Website,Глобал,Расширенный список
7.Общие,Yandex Wordstat,https://wordstat.yandex.ru/,Спрос по ключам в РУ-сегменте.,Цифровые тренды/веб-спрос,Website,Россия,Расширенный список
7.Общие,Baidu Index,https://index.baidu.com/,Поисковый спрос в Китае.,Цифровые тренды/веб-спрос,Website,Китай,Расширенный список
7.Общие,AppMagic,https://appmagic.rocks/,"Выручка, установки, инсайты по приложениям.",Мобильные приложения/Stores,Website,Глобал,Расширенный список
7.Общие,data.ai (App Annie),https://www.data.ai/,Глобальная аналитика мобильных рынков.,Мобильные приложения/Stores,Website,Глобал,Расширенный список
7.Общие,Sensor Tower,https://sensortower.com/,"Доходы, ASO, бенчмарки приложений.",Мобильные приложения/Stores,Website,Глобал,Расширенный список
7.Общие,Appfigures,https://appfigures.com/,"Трекинг доходов/рейтингів, аналитика стора.",Мобильные приложения/Stores,Website,Глобал,Расширенный список
7.Общие,42matters,https://42matters.com/,"Метаданные приложений, SDK, категории.",Мобильные приложения/Stores,Website,Глобал,Расширенный список
7.Общие,AppTweak,https://www.apptweak.com/,"ASO-исследования, ключевые слова.",Мобильные приложения/Stores,Website,Глобал,Расширенный список
7.Общие,Mobile Action,https://www.mobileaction.co/,ASO/Ads анализ конкурентов.,Мобильные приложения/Stores,Website,Глобал,Расширенный список
7.Общие,AppFollow,https://appfollow.io/,"Отзывы, рейтинги, мониторинг релизов.",Мобильные приложения/Stores,Website,Глобал,Расширенный список
7.Общие,Crunchbase,https://www.crunchbase.com/,"Профили стартапов, инвестиции, сделки.",Компании/финансы/реестры,Website,Глобал,Расширенный список
7.Общие,PitchBook,https://pitchbook.com/,Венчур/PE/М&A база и аналитика.,Компании/финансы/реестры,Website,Глобал,Расширенный список
7.Общие,Dealroom,https://dealroom.co/,"Экосистемы стартапов, оценки рынков.",Компании/финансы/реестры,Website,Глобал,Расширенный список
7.Общие,SEC EDGAR,https://www.sec.gov/edgar/search/,Отчётность публичных компаний США.,Компании/финансы/реестры,Website,Россия,Расширенный список
7.Общие,OpenCorporates,https://opencorporates.com/,Глобальная база юрлиц из реестров.,Компании/финансы/реестры,Website,Глобал,Расширенный список
7.Общие,Brønnøysund Register Centre,https://www.brreg.no/en/,Реестры компаний Норвегии.,Компании/финансы/реестры,Website,Норвегия,Расширенный список
7.Общие,Euronext Live Markets,https://live.euronext.com/en,Котировки и профили эмитентов Euronext.,Компании/финансы/реестры,Website,ЕС,Расширенный список
7.Общие,Yahoo Finance,https://finance.yahoo.com/,"Котировки, отчёты, мультипликаторы.",Компании/финансы/реестры,Website,Глобал,Расширенный список
7.Общие,Dsight,http://dsight.ru,Аналитическая платформа для технологических рынков России и Евразии.,Компании/финансы/реестры,Website,Россия,Расширенный список
7.Общие,Wellfound (AngelList),https://wellfound.com/,"Стартапы, вакансии, раунды.",Компании/финансы/реестры,Website,Глобал,Расширенный список
7.Общие,G2,https://www.g2.com/,"Рейтинги B2B-софта, отзывы пользователей.",Каталоги софта/техстеки,Website,Глобал,Расширенный список
7.Общие,Capterra,https://www.capterra.com/,Каталог софта с фильтрами по нишам.,Каталоги софта/техстеки,Website,Глобал,Расширенный список
7.Общие,GetApp,https://www.getapp.com/,Обзоры SaaS и альтернативы.,Каталоги софта/техстеки,Website,Глобал,Расширенный список
7.Общие,TrustRadius,https://www.trustradius.com/,Отзывы и сравнения корпоративного ПО.,Каталоги софта/техстеки,Website,Глобал,Расширенный список
7.Общие,Product Hunt,https://www.producthunt.com/,"Запуски продуктов, тренды, отзывы.",Каталоги софта/техстеки,Website,Глобал,Расширенный список
7.Общие,Stackshare,https://stackshare.io/,Техстеки компаний и сравнение инструментов.,Каталоги софта/техстеки,Website,Глобал,Расширенный список
7.Общие,BuiltWith,https://builtwith.com/,"Технологии, используемые сайтами.",Каталоги софта/техстеки,Website,Глобал,Расширенный список
7.Общие,Wappalyzer,https://www.wappalyzer.com/,Распознавание стеков на сайтах.,Каталоги софта/техстеки,Website,Глобал,Расширенный список
7.Общие,AlternativeTo,https://alternativeto.net/,Альтернативы софту по задачам.,Каталоги софта/техстеки,Website,Глобал,Расширенный список
7.Общие,OpenHub,https://www.openhub.net/,Каталог open-source проектов и метрики.,Каталоги софта/техстеки,Website,Глобал,Расширенный список
7.Общие,Gartner Peer Insights,http://www.gartner.com/peer-insights/,Платформа с отзывами реальных пользователей корпоративного ПО и услуг.,Голос клиента и отзывы,Website,Глобал,Расширенный список
7.Общие,Capterra,http://www.capterra.com,Крупный онлайн-маркетплейс с отзывами на программное обеспечение для бизнеса.,Голос клиента и отзывы,Website,Глобал,Расширенный список
7.Общие,G2,http://www.g2.com,Платформа для peer-to-peer обзоров бизнес-решений.,Голос клиента и отзывы,Website,Глобал,Расширенный список
7.Общие,IRecommend.ru,http://irecommend.ru,Сайт-отзовик на потребительские товары и услуги.,Голос клиента и отзывы,Website,Глобал,Расширенный список
7.Общие,Отзовик,http://otzovik.com,Сайт-отзовик на потребительские товары и услуги.,Голос клиента и отзывы,Website,Глобал,Расширенный список
7.Общие,Brandwatch,http://www.brandwatch.com,"Платформа для анализа потребительского мнения в социальных сетях, блогах и на форумах.",Голос клиента и отзывы,Website,Глобал,Расширенный список
7.Общие,Brand24,http://brand24.com,Инструмент для мониторинга упоминаний бренда в реальном времени.,Голос клиента и отзывы,Website,Глобал,Расширенный список
7.Общие,Sprout Social,http://sproutsocial.com,Платформа для управления социальными сетями с аналитическими и слушающими модулями.,Голос клиента и отзывы,Website,Глобал,Расширенный список
7.Общие,Hootsuite,http://www.hootsuite.com,Платформа для управления социальными сетями с аналитическими модулями.,Голос клиента и отзывы,Website,Глобал,Расширенный список
7.Общие,Socialbakers (Emplifi),http://emplifi.io,Платформа для управления социальными сетями с аналитическими модулями.,Голос клиента и отзывы,Website,Глобал,Расширенный список
7.Общие,Meltwater,http://www.meltwater.com,Комплексное решение для мониторинга СМИ и социальных сетей.,Голос клиента и отзывы,Website,Глобал,Расширенный список
7.Общие,AnswerThePublic,http://answerthepublic.com,Инструмент для визуализации поисковых запросов и вопросов пользователей в Google.,Голос клиента и отзывы,Website,Глобал,Расширенный список
7.Общие,SSRN,https://www.ssrn.com/,"Препринты по экономике, менеджменту.",Академические и патентные исследования,Website,Глобал,Расширенный список
7.Общие,NBER,https://www.nber.org/,Исследования по экономике и рынкам.,Академические и патентные исследования,Website,Глобал,Расширенный список
7.Общие,arXiv,https://arxiv.org/,Препринты по CS/AI/математике.,Академические и патентные исследования,Website,Глобал,Расширенный список
7.Общие,Pew Research Center,https://www.pewresearch.org/,"Опросы, соцтренды, поведение пользователей.",Академические и патентные исследования,Website,Глобал,Расширенный список
7.Общие,Ipsos Global Trends,https://www.ipsos.com/en/global-trends,Глобальные тренды и потребительские инсайты.,Академические и патентные исследования,Website,Глобал,Расширенный список
7.Общие,YouGov,https://today.yougov.com/data,Исследования общественного мнения и брэндов.,Академические и патентные исследования,Website,Глобал,Расширенный список
7.Общие,Gallup World Poll,https://www.gallup.com,"Мировые опросы, благополучие, работа.",Академические и патентные исследования,Website,Глобал,Расширенный список
7.Общие,Statista,https://www.statista.com/,Агрегатор статистики по рынкам (freemium).,Академические и патентные исследования,Website,Глобал,Расширенный список
7.Общие,Google Scholar,http://scholar.google.com,"Поисковая система по научной литературе: статьи, диссертации, книги.",Академические и патентные исследования,Website,Глобал,Расширенный список
7.Общие,BASE,http://www.base-search.net,Поисковая система по академическим ресурсам в открытом доступе.,Академические и патентные исследования,Website,Глобал,Расширенный список
7.Общие,Dimensions,http://www.dimensions.ai,"Исследовательская база данных, связывающая публикации, гранты, патенты и клинические испытания.",Академические и патентные исследования,Website,Глобал,Расширенный список
7.Общие,ResearchGate,http://www.researchgate.net,Социальная сеть для ученых и исследователей для обмена статьями.,Академические и патентные исследования,Website,Глобал,Расширенный список
7.Общие,Scilit,http://www.scilit.net,Комплексный агрегатор научных публикаций от издательства MDPI.,Академические и патентные исследования,Website,Глобал,Расширенный список
7.Общие,Google Patents,http://patents.google.com,Поисковая система по миллионам патентов и заявок со всего мира.,Академические и патентные исследования,Website,Глобал,Расширенный список
7.Общие,PATENTSCOPE (WIPO),http://www.wipo.int/patentscope,"Глобальная база данных ВОИС, обеспечивающая доступ к международным патентным заявкам.",Академические и патентные исследования,Website,Глобал,Расширенный список
7.Общие,Espacenet,http://worldwide.espacenet.com,Бесплатный инструмент поиска патентов от Европейского патентного ведомства (EPO).,Академические и патентные исследования,Website,Глобал,Расширенный список
7.Общие,Информационно-поисковая система ФИПС,http://fips.ru,"Поиск по российским патентам на изобретения, полезные модели и другим объектам интеллектуальной собственности.",Академические и патентные исследования,Website,Глобал,Расширенный список
7.Общие,Meta Ad Library,https://www.facebook.com/ads/library/,Поиск креативов и политической рекламы Meta.,Рекламные библиотеки/креативы,Website,Глобал,Расширенный список
7.Общие,TikTok Creative Center,https://www.tiktok.com/business/creativecenter/,"Тренды, топ-креативы и аудио.",Рекламные библиотеки/креативы,Website,Глобал,Расширенный список
7.Общие,Google Ads Transparency Center,https://adstransparency.google.com/,Объявления в Google,Рекламные библиотеки/креативы,Website,Глобал,Расширенный список
7.Общие,X Ads Transparency,https://transparency.twitter.com/,Публичные отчёты и политика рекламы X/Twitter.,Рекламные библиотеки/креативы,Website,Глобал,Расширенный список
7.Общие,Snap Political Ads Library,https://publicfiles.snap.com/,Библиотека политрекламы Snapchat.,Рекламные библиотеки/креативы,Website,Глобал,Расширенный список
7.Общие,Moat Creative Gallery,https://moat.com/creative,Примеры дисплей-креативов и брендов.,Рекламные библиотеки/креативы,Website,Глобал,Расширенный список
7.Общие,Priceva,http://priceva.com,Сервис для мониторинга цен конкурентов и автоматизации ценообразования.,Инструменты для анализа цен,Website,Глобал,Расширенный список
7.Общие,Competera,http://competera.net,"AI-платформа для ценообразования, основанного на спросе, для ритейлеров.",Инструменты для анализа цен,Website,Глобал,Расширенный список
7.Общие,Price2Spy,http://www.price2spy.com,Инструмент для мониторинга и сравнения цен конкурентов для e-commerce.,Инструменты для анализа цен,Website,Глобал,Расширенный список
7.Общие,Prisync,http://prisync.com,Программное обеспечение для отслеживания цен конкурентов для компаний электронной коммерции всех размеров.,Инструменты для анализа цен,Website,Глобал,Расширенный список
7.Общие,Metacommerce,http://metacommerce.ru,"SaaS-сервис для мониторинга ассортимента, цен и анализа конкурентов в онлайн и офлайн ритейле.",Инструменты для анализа цен,Website,Глобал,Расширенный список
7.Общие,Gartner,http://www.gartner.com,"Ведущая мировая исследовательская компания, известная инструментами Magic Quadrant и Hype Cycle.",Рыночные исследования и отчеты,Website,Глобал,Расширенный список
7.Общие,Forrester,http://www.forrester.com,"Влиятельная аналитическая фирма, известная инструментом The Forrester Wave™.",Рыночные исследования и отчеты,Website,Глобал,Расширенный список
7.Общие,IDC,http://www.idc.com,"Специализируется на данных о размерах рынка, прогнозах и долях поставщиков в IT.",Рыночные исследования и отчеты,Website,Глобал,Расширенный список
7.Общие,MarketResearch.com,http://www.marketresearch.com,Агрегатор отчетов от сотен исследовательских компаний.,Рыночные исследования и отчеты,Website,Глобал,Расширенный список
7.Общие,Statista,http://www.statista.com,"Онлайн-платформа для сбора, визуализации и предоставления статистических данных.",Рыночные исследования и отчеты,Website,Глобал,Расширенный список
7.Общие,CB Insights,http://www.cbinsights.com,"Платформа для анализа данных о технологиях, стартапах и венчурном капитале.",Рыночные исследования и отчеты,Website,Глобал,Расширенный список
7.Общие,Nielsen,http://www.nielsen.com,"Аналитика потребительского поведения, ритейла и медиа.",Рыночные исследования и отчеты,Website,Глобал,Расширенный список
7.Общие,Ipsos,http://www.ipsos.com,"Глобальная исследовательская компания, специализирующаяся на изучении потребительского поведения и общества.",Рыночные исследования и отчеты,Website,Глобал,Расширенный список
7.Общие,Потребительское поведение; факты и тренды,https://t.me/c_behavior,Аналитический канал Дмитрия Фролова о потребительских и маркетинговых трендах.,Рыночные исследования и отчеты,Telegram,Россия,Расширенный список
7.Общие,Globalook: анализ зарубежных рынков,https://t.me/globalook,"Канал об исследованиях международных рынков: полезные ссылки, инструменты, кейсы и новости. С любовью к картам и визуализации данных.",Рыночные исследования и отчеты,Telegram,Глобал,Расширенный список
7.Общие,Nielsen Norman Group (NN/g),https://www.nngroup.com/,"Исследования и best practices UX, регулярные обзоры трендов и методов.",Дизайн/UX тренды (издания и дайджесты),Website,Глобал,Расширенный список
7.Общие,Smashing Magazine,https://www.smashingmagazine.com/,"Глубокие статьи и практики по фронтенду, UX и доступности.",Дизайн/UX тренды (издания и дайджесты),Website,Глобал,Расширенный список
7.Общие,UX Collective (uxdesign.cc),https://uxdesign.cc/,"Крупнейшая публикация про UX на Medium: тренды, процессы, кейсы.",Дизайн/UX тренды (издания и дайджесты),Website,Глобал,Расширенный список
7.Общие,Sidebar,https://sidebar.io/,Ежедневная рассылка «5 дизайн-ссылок в день»: свежие тренды и чтение.,Дизайн/UX тренды (издания и дайджесты),Website,Глобал,Расширенный список
7.Общие,Web Designer News,https://www.webdesignernews.com/,"Агрегатор новостей по веб-дизайну/UX, ежедневные подборки.",Дизайн/UX тренды (издания и дайджесты),Website,Глобал,Расширенный список
7.Общие,designboom,https://www.designboom.com/,Медиа о дизайне и визуальной культуре; вдохновение и тренды.,Дизайн/UX тренды (издания и дайджесты),Website,Глобал,Расширенный список
7.Общие,AIGA Eye on Design,https://eyeondesign.aiga.org/,"Публикации AIGA на стыке графдиза, брендинга и цифровых трендов.",Дизайн/UX тренды (издания и дайджесты),Website,Глобал,Расширенный список
7.Общие,Today in Design,https://www.todayin.design/,"Дайджест новостей для дизайнеров: события, ресурсы, тренды.",Дизайн/UX тренды (издания и дайджесты),Website,Глобал,Расширенный список
7.Общие,Awwwards,https://www.awwwards.com/,"Витрина лучших сайтов мира, срез визуальных веб-трендов.",Галереи/шоукейсы (веб),Website,Глобал,Расширенный список
7.Общие,Webflow Showcase,https://webflow.com/made-in-webflow/showcase,Тысячи #MadeInWebflow проектов; удобно фильтровать по анимациям/нишам.,Галереи/шоукейсы (веб),Website,Глобал,Расширенный список
7.Общие,Framer Gallery,https://www.framer.com/gallery/,Галерея сайтов на Framer; свежие паттерны анимаций и верстки.,Галереи/шоукейсы (веб),Website,Глобал,Расширенный список
7.Общие,Land-book,https://land-book.com/,"Курированная галерея веб-сайтов, часто — современные лендинги.",Галереи/шоукейсы (веб),Website,Глобал,Расширенный список
7.Общие,Lapa Ninja,https://www.lapa.ninja/,>7k лендингов с 2015 года; быстрый срез по CTA/героям/секциям.,Галереи/шоукейсы (веб),Website,Глобал,Расширенный список
7.Общие,One Page Love,https://onepagelove.com/,Одностраничные сайты: тренды в структуре и копирайте.,Галереи/шоукейсы (веб),Website,Глобал,Расширенный список
7.Общие,Dribbble (Popular/Trending),https://dribbble.com/shots/popular,"Визуальные тренды UI/иллюстраций, быстрый «термометр» стилистики.",Галереи/шоукейсы (веб),Website,Глобал,Расширенный список
7.Общие,Behance (Interaction),https://www.behance.net/,Кураторские подборки по Interaction/UX; тренды по интерактиву.,Галереи/шоукейсы (веб),Website,Глобал,Расширенный список
7.Общие,Mobbin,https://mobbin.com/,"Огромная база реальных экранов и флоу iOS/Android/Web, обновляется еженедельно.",Паттерны/флоу/мобильные,Website,Глобал,Расширенный список
7.Общие,Page Flows,https://pageflows.com/,"Видеофлоу и скриншоты ключевых сценариев (онбординг, чек-аут и др.).",Паттерны/флоу/мобильные,Website,Глобал,Расширенный список
7.Общие,UI Sources,https://uisources.com/,">800 видео-интеракций и >2,400 скриншотов, разложенных по паттернам.",Паттерны/флоу/мобильные,Website,Глобал,Расширенный список
7.Общие,GoodUX (Appcues),https://goodux.appcues.com/,"Библиотека «Really Good UX»: примеры онбординга, туров, empty states.",Паттерны/флоу/мобильные,Website,Глобал,Расширенный список
7.Общие,Pttrns,https://www.pttrns.com/,"Каталог мобильных UI-паттернов, ориентир по iOS/Android.",Паттерны/флоу/мобильные,Website,Глобал,Расширенный список
7.Общие,UI-Patterns.com,https://ui-patterns.com/,Справочник повторяющихся UI-решений и поведенческих «карточек».,Паттерны/флоу/мобильные,Website,Глобал,Расширенный список
7.Общие,Collect UI,https://collectui.com/,Ежедневно курируемые UI-работы по компонентам/темам.,Паттерны/флоу/мобильные,Website,Глобал,Расширенный список
7.Общие,patterns.dev,https://www.patterns.dev/,Современные паттерны компонент/рендеринга/перфоманса для веб-приложений.,Паттерны/флоу/мобильные,Website,Глобал,Расширенный список
